translation,reference,source,translation_clean,reference_clean,source_clean
 I helped the torso to choose a flower on the skin.,Helped Dr. Chen choose a flower for the lapel.,Ajudou o Dr. Chen a escolher uma flor na lapela, i helped the torso to choose a flower on the skin ,helped dr chen choose a flower for the lapel ,ajudou o dr chen a escolher uma flor na lapela
 You are ready to hear my counter-argument?,Are you ready to hear my counterargument?,Você está pronto para ouvir meu contra-argumento?, you are ready to hear my counter argument ,are you ready to hear my counterargument ,você está pronto para ouvir meu contra argumento 
 a player played by G zmian was sent aан tubo com mamãs con joelho,A baseball player sitting in a tube with a stain on this knee.,Um jogador de beisebol sentado em um tubo com uma mancha no joelho., a player played by g zmian was sent aан tubo com mamãs con joelho,a baseball player sitting in a tube with a stain on this knee ,um jogador de beisebol sentado em um tubo com uma mancha no joelho 
 They were such an array of color beyond hi-hat.,"It was a leather belt, kind of old-fashioned.","Era um cinto de couro, meio brega.", they were such an array of color beyond hi hat ,it was a leather belt kind of old fashioned ,era um cinto de couro meio brega 
 Maybe we'll be certain...,Maybe you’re right.,Talvez você esteja certo., maybe we ll be certain ,maybe you re right ,talvez você esteja certo 
" I do what I say, not how I do.","Do as I say, not as I do.",Faça o que eu digo não como eu faço., i do what i say not how i do ,do as i say not as i do ,faça o que eu digo não como eu faço 
" So, he's going to go see the blind",There is that relief if they find out.,Há esse alívio se eles descobrirem., so he s going to go see the blind,there is that relief if they find out ,há esse alívio se eles descobrirem 
 It was the old man who said it for the first time.,It was the old man that talked first.,Foi o velho que falou primeiro., it was the old man who said it for the first time ,it was the old man that talked first ,foi o velho que falou primeiro 
 This is a sociological paradigm.,This is a sociological paradigm.,Este é um paradigma sociológico., this is a sociological paradigm ,this is a sociological paradigm ,este é um paradigma sociológico 
 And in brief we will be all ready for work.,"Soon, we’ll all be flying off to work.",Em breve? estaremos todos voando para o trabalho., and in brief we will be all ready for work ,soon we ll all be flying off to work ,em breve estaremos todos voando para o trabalho 
 The Singing Lyrics Were Let's Do!,The goose was brought directly from the antique market.,O ganso foi trazido direto do mercado antigo., the singing lyrics were let s do ,the goose was brought directly from the antique market ,o ganso foi trazido direto do mercado antigo 
 Until the end of the year we will see the music festival.,By the end of the year there will be music festivals.,Até o final do ano haverá festivais de música., until the end of the year we will see the music festival ,by the end of the year there will be music festivals ,até o final do ano haverá festivais de música 
 I still don't accept my name itmers,What’s your name again?,"Qual o seu nome, mesmo?", i still don t accept my name itmers,what s your name again ,qual o seu nome mesmo 
 The migluador of deep waters is a full equipment studying a yellow tartaruga.,"A deep sea diver is fully equipped, studying a sea turtle.",Um mergulhador de águas profundas está em pleno equipamento estudando uma tartaruga marinha., the migluador of deep waters is a full equipment studying a yellow tartaruga ,a deep sea diver is fully equipped studying a sea turtle ,um mergulhador de águas profundas está em pleno equipamento estudando uma tartaruga marinha 
 How do we know that it's over?,How do we know it ended?,Como sabemos que acabou?, how do we know that it s over ,how do we know it ended ,como sabemos que acabou 
 Two women are sitting in the conversation of Rando Juntas.,"Two women sitting, talking and laughing together.","Duas mulheres estão sentadas, conversando e rindo juntas.", two women are sitting in the conversation of rando juntas ,two women sitting talking and laughing together ,duas mulheres estão sentadas conversando e rindo juntas 
 A man and a woman in white black are in a elevator.,A man and a woman in black and white are in an elevator.,Um homem e uma mulher? em preto e branco? estão em um elevador., a man and a woman in white black are in a elevator ,a man and a woman in black and white are in an elevator ,um homem e uma mulher em preto e branco estão em um elevador 
 You have some aspects about who they could be.,Do you have any idea who they might be?,Você tem alguma suspeita sobre quem eles poderiam ser?, you have some aspects about who they could be ,do you have any idea who they might be ,você tem alguma suspeita sobre quem eles poderiam ser 
 Vol search dedicated several mask changes,Valgrind detected various memory leaks.,Valgrind detectou vários vazamentos de memória., vol search dedicated several mask changes,valgrind detected various memory leaks ,valgrind detectou vários vazamentos de memória 
 A man in a white castle is looking at a map exhibition.,A man and a white dog are looking at a postcard exhibit.,Um homem e um cachorro branco estão olhando para uma exibição de cartões postais., a man in a white castle is looking at a map exhibition ,a man and a white dog are looking at a postcard exhibit ,um homem e um cachorro branco estão olhando para uma exibição de cartões postais 
 A teeth睩 shaped created by G dreamers,A girl in a blue shirt jumps up in the air.,Uma garota de camisa azul salta no ar., a teeth睩 shaped created by g dreamers,a girl in a blue shirt jumps up in the air ,uma garota de camisa azul salta no ar 
 A box and another box in the back of the box.,A dog in a pool and another dog on the edge of the pool.,Um cachorro em uma piscina e outro cachorro na beira da piscina., a box and another box in the back of the box ,a dog in a pool and another dog on the edge of the pool ,um cachorro em uma piscina e outro cachorro na beira da piscina 
 The,A skier going down in the deep snow.,Um esquiador que viaja para baixo na neve profunda., the,a skier going down in the deep snow ,um esquiador que viaja para baixo na neve profunda 
