,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
595, Eu estive esperando por você aqui neste oasis por um longo tempo.,Eu estive esperando por você aqui neste oásis por um longo tempo.,I’ve been waiting for you here on this oasis for a long time., eu estive esperando por você aqui neste oasis por um longo tempo ,eu estive esperando por você aqui neste oásis por um longo tempo ,i ve been waiting for you here on this oasis for a long time 
596, Um bom grupo de repórteres.,Um bom grupo de repórteres.,A nice group or journalists., um bom grupo de repórteres ,um bom grupo de repórteres ,a nice group or journalists 
597, A instituição que é completamente inalterada e impessoal é o fóssil.,A instituição que é completamente inalterada em pessoal é o fóssil,The institution that remains completely unchanged in staff is the fossil., a instituição que é completamente inalterada e impessoal é o fóssil ,a instituição que é completamente inalterada em pessoal é o fóssil,the institution that remains completely unchanged in staff is the fossil 
598, Chame a polícia agora.,Chame a polícia agora!,Call the police now!, chame a polícia agora ,chame a polícia agora ,call the police now 
599, Duas pessoas pintando uma parede de tijolos.,Duas pessoas pintando uma parede de tijolos.,Two people painting a brick wall., duas pessoas pintando uma parede de tijolos ,duas pessoas pintando uma parede de tijolos ,two people painting a brick wall 
600, Nos reunimos de novo.,Nos reunimos de novo,We gather again., nos reunimos de novo ,nos reunimos de novo,we gather again 
601, As ovelhas foram levadas para casa por um cachorro.,As ovelhas foram levadas para casa por um cachorro.,The sheep were taken home by a dog., as ovelhas foram levadas para casa por um cachorro ,as ovelhas foram levadas para casa por um cachorro ,the sheep were taken home by a dog 
602, dois meninos segura as mãos de um homem,Dois meninos seguram as mãos de um homem.,Two boys hold a man’s hands., dois meninos segura as mãos de um homem,dois meninos seguram as mãos de um homem ,two boys hold a man s hands 
603," É garantido que, para parecer digno, você tem que ficar sério.","É garantido que, para parecer digno, você tem que ficar sério.","It’s guaranteed that, to look worthy, you need to remain serious.", é garantido que para parecer digno você tem que ficar sério ,é garantido que para parecer digno você tem que ficar sério ,it s guaranteed that to look worthy you need to remain serious 
604, Inevitável.,Inevitável,Inevitable, inevitável ,inevitável,inevitable
605, afetar a circulação sanguínea,Afetar a circulação sanguínea,Affect blood flow., afetar a circulação sanguínea,afetar a circulação sanguínea,affect blood flow 
606, Este é o único edifício que não foi afetado pelo fogo.,Este é o único edifício que não foi afetado pelo fogo.,This was the only building that was not struck by the fire., este é o único edifício que não foi afetado pelo fogo ,este é o único edifício que não foi afetado pelo fogo ,this was the only building that was not struck by the fire 
607," Eu quero ouvir o álbum Hikyo Dal Potsud, com Hong Lee.",Eu quero ouvir o álbum Picchio Dal Pozzo de Con Hunley,I want to hear the album Picchio Dal Pozzo de Con Hunley, eu quero ouvir o álbum hikyo dal potsud com hong lee ,eu quero ouvir o álbum picchio dal pozzo de con hunley,i want to hear the album picchio dal pozzo de con hunley
608, Estou feliz.,Estou feliz,I am happy, estou feliz ,estou feliz,i am happy
609, Eu sempre penso que pode haver melhor na frente.,Eu sempre penso que pode haver melhor na frente.,I always believe that there could be something better up ahead., eu sempre penso que pode haver melhor na frente ,eu sempre penso que pode haver melhor na frente ,i always believe that there could be something better up ahead 
610, O menino de short branco fica em uma torre enferrujada.,Um menino de short branco fica em uma torre enferrujada.,A boy in white shorts stays in a rusty tower., o menino de short branco fica em uma torre enferrujada ,um menino de short branco fica em uma torre enferrujada ,a boy in white shorts stays in a rusty tower 
611, Essa era uma garotinha chamada Mary Hatt.,Essa era uma garotinha chamada Mary Hatch.,That was a little girl named Mary Hatch., essa era uma garotinha chamada mary hatt ,essa era uma garotinha chamada mary hatch ,that was a little girl named mary hatch 
612, Eles virão até nós.,Eles virão até nós,They will come to us., eles virão até nós ,eles virão até nós,they will come to us 
613," Quando o ônibus chegar, pegue o ônibus.","Quando o ônibus chegar, pegue o ônibus.","When the bus arrives, take it.", quando o ônibus chegar pegue o ônibus ,quando o ônibus chegar pegue o ônibus ,when the bus arrives take it 
614, cara fazendo um tiro de basquete com espectadores assistindo,Cara fazendo um tiro de basquete com espectadores assistindo.,Man taking a basketball throw with spectators watching., cara fazendo um tiro de basquete com espectadores assistindo,cara fazendo um tiro de basquete com espectadores assistindo ,man taking a basketball throw with spectators watching 
615, Quando chegou ao topo da duna seu coração pulou.,Quando chegou ao topo da duna? seu coração pulou.,"When he got to the top of the dune, his heart skipped.", quando chegou ao topo da duna seu coração pulou ,quando chegou ao topo da duna seu coração pulou ,when he got to the top of the dune his heart skipped 
616, Cresça com raio lentamente há bastante tempo.,Cresça com raiva lentamente? há bastante tempo.,Grows with anger slowly? For quite some time., cresça com raio lentamente há bastante tempo ,cresça com raiva lentamente há bastante tempo ,grows with anger slowly for quite some time 
617, O suco de limões faz um bom soco.,O suco de limões faz um bom soco.,Lemon juice makes a good punch., o suco de limões faz um bom soco ,o suco de limões faz um bom soco ,lemon juice makes a good punch 
618, A distância de outras fazendas dedicadas a mesma atividade de 500 metros.,A distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros.,"The distance to other farms dedicated to the same activity, is five hundred meters.", a distância de outras fazendas dedicadas a mesma atividade de 500 metros ,a distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros ,the distance to other farms dedicated to the same activity is five hundred meters 
619," O carro, no entanto, não foi danificado.",O carro no entanto não foi danificado.,"The car, on the other hand, was not damaged.", o carro no entanto não foi danificado ,o carro no entanto não foi danificado ,the car on the other hand was not damaged 
620, Um grupo de pessoas está parado em volta de uma grande fogueira.,Um grupo de pessoas está parado em volta de uma grande fogueira.,A group of people standing by a big bonfire., um grupo de pessoas está parado em volta de uma grande fogueira ,um grupo de pessoas está parado em volta de uma grande fogueira ,a group of people standing by a big bonfire 
621, A tarefa de hoje é escrever um sinopse do romance recentemente publicado da Tata.,A tarefa de hoje é escrever uma sinopse do romance recentemente publicado da Tata.,Today’s task is to write a summary of Tata’s recently published novel., a tarefa de hoje é escrever um sinopse do romance recentemente publicado da tata ,a tarefa de hoje é escrever uma sinopse do romance recentemente publicado da tata ,today s task is to write a summary of tata s recently published novel 
622, Uma mulher preparando uma refeição em casa.,Uma mulher preparando uma refeição em casa.,A woman preparing a meal at home., uma mulher preparando uma refeição em casa ,uma mulher preparando uma refeição em casa ,a woman preparing a meal at home 
623, Duas mulheres andando e falando.,Duas mulheres andando e falando.,Two women walking and talking., duas mulheres andando e falando ,duas mulheres andando e falando ,two women walking and talking 
624, Uma competição de tiro com arco com dois homens jogando.,uma competição de tiro com arco com dois homens jogando,An archery competition with two men shooting., uma competição de tiro com arco com dois homens jogando ,uma competição de tiro com arco com dois homens jogando,an archery competition with two men shooting 
625, Eles passaram o fim de semana inteiro jogando videogames.,Eles passaram o fim de semana inteiro jogando video games.,They spent the entire weekend playing video games., eles passaram o fim de semana inteiro jogando videogames ,eles passaram o fim de semana inteiro jogando video games ,they spent the entire weekend playing video games 
626, Você pode me pegar um jogo do que eu quero.,Você pode me pegar o jogo do Club Nation?,Can you get the Club Nation game for me?, você pode me pegar um jogo do que eu quero ,você pode me pegar o jogo do club nation ,can you get the club nation game for me 
627, Eu vou matar os dois.,Eu vou matar os dois!,I will kill you both!, eu vou matar os dois ,eu vou matar os dois ,i will kill you both 
