,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
646, Um homem prestes a entrar em um pequeno carro compacto azul.,Um homem prestes a entrar em um pequeno carro compacto azul.,A man is about to get into a small blue compact car., um homem prestes a entrar em um pequeno carro compacto azul ,um homem prestes a entrar em um pequeno carro compacto azul ,a man is about to get into a small blue compact car 
647, Um homem de jaqueta preta olhando por cima do corrimão de um barco.,"Um homem de jaqueta preta, olhando por cima do corrimão de um barco.","A man in a black jacket, staring over the handrail of a ship.", um homem de jaqueta preta olhando por cima do corrimão de um barco ,um homem de jaqueta preta olhando por cima do corrimão de um barco ,a man in a black jacket staring over the handrail of a ship 
648, Prenda dois pinos de cada lado.,Prenda dois pinos de cada lado.,Attach two pins on each side., prenda dois pinos de cada lado ,prenda dois pinos de cada lado ,attach two pins on each side 
649, Um homem fica em pernas de pau enquanto as crianças assistem.,"Um homem fica em pernas de pau, enquanto as crianças assistem.",A man stands on wooden legs as the children watch., um homem fica em pernas de pau enquanto as crianças assistem ,um homem fica em pernas de pau enquanto as crianças assistem ,a man stands on wooden legs as the children watch 
650, Um homem varrendo a bagunça no chão depois de um conserto.,Um homem varrendo a bagunça no chão depois de um concerto.,A man sweeping the mess on the floor after a concert., um homem varrendo a bagunça no chão depois de um conserto ,um homem varrendo a bagunça no chão depois de um concerto ,a man sweeping the mess on the floor after a concert 
651, Ela acha que o mundo tem pés de barro.,Ela acha que o mundo tem pés de barro.,She thinks that the world has feet of clay., ela acha que o mundo tem pés de barro ,ela acha que o mundo tem pés de barro ,she thinks that the world has feet of clay 
652, Um homem mergulha na água cercada por pedras e pinheiros.,Um homem mergulha na água cercada por pedras e pinheiros.,A man dives in the water surrounded by stones and pines., um homem mergulha na água cercada por pedras e pinheiros ,um homem mergulha na água cercada por pedras e pinheiros ,a man dives in the water surrounded by stones and pines 
653, Três cachorros correm pela praia.,Três cachorros correm pela praia.,Three dogs run on the beach., três cachorros correm pela praia ,três cachorros correm pela praia ,three dogs run on the beach 
654, Dois cachorrinhos brancos correndo.,Dois cachorrinhos brancos correndo.,Two white puppies running., dois cachorrinhos brancos correndo ,dois cachorrinhos brancos correndo ,two white puppies running 
655, Uma mulher está em pé na frente de uma mesa de condimentos.,Uma mulher está em pé na frente de uma mesa de condimentos.,A woman is standing in front of a table of condiments., uma mulher está em pé na frente de uma mesa de condimentos ,uma mulher está em pé na frente de uma mesa de condimentos ,a woman is standing in front of a table of condiments 
656, Quais são os fatos?,Quais são os fatos?,What are the facts?, quais são os fatos ,quais são os fatos ,what are the facts 
657, Outras vezes eu quero fazer algo bom para o mundo.,Outras vezes eu quero fazer algo bom para o mundo.,"Other times, I want to do something good for the world.", outras vezes eu quero fazer algo bom para o mundo ,outras vezes eu quero fazer algo bom para o mundo ,other times i want to do something good for the world 
658, Há um grupo de adolescentes indisciplinados brincando em seu jardim.,Há um grupo de adolescentes indisciplinados brincando em seu jardim.,There’s a group of unruly teenagers playing in my backyard., há um grupo de adolescentes indisciplinados brincando em seu jardim ,há um grupo de adolescentes indisciplinados brincando em seu jardim ,there s a group of unruly teenagers playing in my backyard 
659, Pessoa de jaqueta preta e shorts correndo na chuva.,Pessoa de jaqueta preta e shorts correndo na chuva.,A person with a black jacket and shorts running in the rain., pessoa de jaqueta preta e shorts correndo na chuva ,pessoa de jaqueta preta e shorts correndo na chuva ,a person with a black jacket and shorts running in the rain 
660, Uma pessoa verifica instrumentos médicos.,Uma pessoa verifica instrumentos médicos.,A person checks medical instruments., uma pessoa verifica instrumentos médicos ,uma pessoa verifica instrumentos médicos ,a person checks medical instruments 
661, O ataque ao nosso servidor raiz sobrecarregou o nosso administrador sênior.,O ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior.,The attack on our root server overstrained our senior administrator., o ataque ao nosso servidor raiz sobrecarregou o nosso administrador sênior ,o ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior ,the attack on our root server overstrained our senior administrator 
662, Eu estou gostando do som dessa economia baseada em ovo de avestruz.,Eu estou gostando do som dessa economia baseada em ovo de avestruz.,I’m liking the sound of that economy based on ostrich eggs., eu estou gostando do som dessa economia baseada em ovo de avestruz ,eu estou gostando do som dessa economia baseada em ovo de avestruz ,i m liking the sound of that economy based on ostrich eggs 
663, Como você sabe?,Como você sabe?,How do you know?, como você sabe ,como você sabe ,how do you know 
664, As pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas.,As pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas.,The people are walking by a sparkling merry-go-round on which some people are seated., as pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas ,as pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas ,the people are walking by a sparkling merry go round on which some people are seated 
665, Um grupo de pessoas está no converse de um barco grande.,Um grupo de pessoas está no convés de um barco grande.,A group of people is on the deck of a big ship., um grupo de pessoas está no converse de um barco grande ,um grupo de pessoas está no convés de um barco grande ,a group of people is on the deck of a big ship 
666, Ele estava pisando em ovos,Ele estava pisando em ovos,He was walking on eggshells., ele estava pisando em ovos,ele estava pisando em ovos,he was walking on eggshells 
667, Ajudou o Dr. Shen a escolher uma flor na lapela,Ajudou o Dr. Chen a escolher uma flor na lapela,Helped Dr. Chen choose a flower for the lapel., ajudou o dr shen a escolher uma flor na lapela,ajudou o dr chen a escolher uma flor na lapela,helped dr chen choose a flower for the lapel 
668, Você está pronto para ouvir meu contra-argumento?,Você está pronto para ouvir meu contra-argumento?,Are you ready to hear my counterargument?, você está pronto para ouvir meu contra argumento ,você está pronto para ouvir meu contra argumento ,are you ready to hear my counterargument 
669, Um jogador de beisebol sentado em um tubo com uma mancha no joelho.,Um jogador de beisebol sentado em um tubo com uma mancha no joelho.,A baseball player sitting in a tube with a stain on this knee., um jogador de beisebol sentado em um tubo com uma mancha no joelho ,um jogador de beisebol sentado em um tubo com uma mancha no joelho ,a baseball player sitting in a tube with a stain on this knee 
670, Era um cinto de couro meio brega,"Era um cinto de couro, meio brega.","It was a leather belt, kind of old-fashioned.", era um cinto de couro meio brega,era um cinto de couro meio brega ,it was a leather belt kind of old fashioned 
671, Talvez você esteja certo.,Talvez você esteja certo.,Maybe you’re right., talvez você esteja certo ,talvez você esteja certo ,maybe you re right 
672," Faço o que eu digo, não como eu faço.",Faça o que eu digo não como eu faço.,"Do as I say, not as I do.", faço o que eu digo não como eu faço ,faça o que eu digo não como eu faço ,do as i say not as i do 
673, Há esse alívio se eles descobrirem.,Há esse alívio se eles descobrirem.,There is that relief if they find out., há esse alívio se eles descobrirem ,há esse alívio se eles descobrirem ,there is that relief if they find out 
674, Foi o velho que falou primeiro.,Foi o velho que falou primeiro.,It was the old man that talked first., foi o velho que falou primeiro ,foi o velho que falou primeiro ,it was the old man that talked first 
675, Este é um paradigma sociológico.,Este é um paradigma sociológico.,This is a sociological paradigm., este é um paradigma sociológico ,este é um paradigma sociológico ,this is a sociological paradigm 
676, Em breve estaremos todos juntos para o trabalho.,Em breve? estaremos todos voando para o trabalho.,"Soon, we’ll all be flying off to work.", em breve estaremos todos juntos para o trabalho ,em breve estaremos todos voando para o trabalho ,soon we ll all be flying off to work 
